,ProductFullName,ProductShortName,Prices
0,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black),boAt Rockerz 255,16
1,Flybot Wave in-Ear Sport Wireless Bluetooth Earphone with Mic and IPX4 Sweatproof - (Black),Flybot Wave,13
2,Flybot Boom Deep Bass in-Ear Wireless Bluetooth Earphone with Mic IPX4 Sweatproof - (Black),Flybot Boom,13
3,PTron Intunes Pro Headphone Magnetic Earphone Wireless Bluetooth Headset with Mic for All Smartphones (Gray),PTron Intunes,9
4,"Flybot Beat True Wireless Bluetooth Earphones with Charging Case, Compatible with Android and iOS (Black)",Flybot Beat,34
5,Samsung EO-BG950CBEGIN Bluetooth Wireless in-Ear Flexible Headphones with Microphone (Black),Samsung EO-BG950CBEIN,36
6,JBL T205BT Pure Bass Wireless Metal Earbud Headphones with Mic (Black),JBL T205BT,23
7,Sennheiser CX 6.0BT 507447 in Ear Wireless Earphones (Black),Sennheiser CX 6.0BT,74
8,Skullcandy S2PGHW-174 in-Ear Wireless Headphones (Black/Chrome),Skullcandy S2PGHW-174,42
9,JBL T110BT Pure Bass Wireless in-Ear Headphones with Mic (Black),JBL T110BT,23
